donor_id,celltype_major,Cell_Count,Fraction
CID3586,B-cells,321,0.051958562641631595
CID3586,CAFs,185,0.029944966008416965
CID3586,Endothelial,157,0.025412754936872773
CID3586,Myeloid,200,0.03237293622531564
CID3586,Normal Epithelial,698,0.11298154742635157
CID3586,PVL,21,0.003399158303658142
CID3586,T-cells,4596,0.7439300744577533
CID3838,B-cells,47,0.01997450063748406
CID3838,CAFs,203,0.08627284317892053
CID3838,Endothelial,99,0.04207394815129622
CID3838,Myeloid,444,0.18869528261793456
CID3838,PVL,158,0.0671483212919677
CID3838,Plasmablasts,51,0.021674458138546536
CID3838,T-cells,1351,0.5741606459838504
CID3921,B-cells,162,0.05357142857142857
CID3921,CAFs,106,0.03505291005291005
CID3921,Cancer Epithelial,441,0.14583333333333334
CID3921,Endothelial,210,0.06944444444444445
CID3921,Myeloid,385,0.12731481481481483
CID3921,PVL,72,0.023809523809523808
CID3921,Plasmablasts,175,0.05787037037037037
CID3921,T-cells,1473,0.4871031746031746
CID3941,B-cells,55,0.08716323296354993
CID3941,CAFs,8,0.012678288431061807
CID3941,Cancer Epithelial,196,0.31061806656101426
CID3941,Endothelial,44,0.06973058637083994
CID3941,Myeloid,37,0.058637083993660855
CID3941,PVL,25,0.039619651347068144
CID3941,T-cells,266,0.4215530903328051
CID3946,CAFs,167,0.2157622739018088
CID3946,Endothelial,110,0.1421188630490956
CID3946,Myeloid,157,0.20284237726098192
CID3946,PVL,248,0.32041343669250644
CID3946,T-cells,92,0.11886304909560723
CID3948,B-cells,85,0.0365277180919639
CID3948,CAFs,15,0.006446067898581865
CID3948,Cancer Epithelial,261,0.11216158143532445
CID3948,Endothelial,85,0.0365277180919639
CID3948,Myeloid,122,0.05242801890846584
CID3948,PVL,62,0.026643747314138374
CID3948,Plasmablasts,232,0.09969918349806618
CID3948,T-cells,1465,0.6295659647614955
CID3963,CAFs,23,0.00652112276722427
CID3963,Cancer Epithelial,222,0.062943011057556
CID3963,Endothelial,102,0.028919761837255458
CID3963,Myeloid,479,0.1358094698043663
CID3963,Normal Epithelial,1,0.0002835270768358378
CID3963,PVL,28,0.00793875815140346
CID3963,T-cells,2672,0.7575843493053587
CID4040,B-cells,105,0.04148557882259976
CID4040,CAFs,129,0.050967996839193994
CID4040,Endothelial,218,0.08613196365073093
