group,names,scores,logfoldchanges,pvals,pvals_adj
B-cells,ENSG00000156738,78.18565,10.471368,0.0,0.0
B-cells,ENSG00000105369,71.31992,6.643319,0.0,0.0
B-cells,ENSG00000104894,68.88382,5.988937,0.0,0.0
B-cells,ENSG00000204287,67.44988,4.705611,0.0,0.0
B-cells,ENSG00000019582,63.11535,23.001245,0.0,0.0
B-cells,ENSG00000223865,58.940674,1.9901342,0.0,0.0
B-cells,ENSG00000231389,58.267643,1.7556058,0.0,0.0
B-cells,ENSG00000196735,55.867504,1.0574629,0.0,0.0
B-cells,ENSG00000179344,54.681877,2.1455655,0.0,0.0
B-cells,ENSG00000169442,52.09364,4.0519714,0.0,0.0
B-cells,ENSG00000153064,49.11397,7.392776,0.0,0.0
B-cells,ENSG00000162511,48.508087,2.2205102,0.0,0.0
B-cells,ENSG00000112149,48.0119,3.970008,0.0,0.0
B-cells,ENSG00000198502,47.206394,0.8427018,0.0,0.0
B-cells,ENSG00000196126,45.10556,-2.9598339,0.0,0.0
B-cells,ENSG00000121966,42.29098,3.108322,0.0,0.0
B-cells,ENSG00000227507,39.34938,2.5279338,0.0,0.0
B-cells,ENSG00000007312,38.383614,4.023435,0.0,0.0
B-cells,ENSG00000128218,38.30781,7.4818773,0.0,0.0
B-cells,ENSG00000110848,36.15878,3.465094,2.707890275354802e-286,7.221123544379636e-284
B-cells,ENSG00000162894,34.97884,3.2959971,4.7203240817850786e-268,1.0163382228536807e-265
B-cells,ENSG00000140968,34.69853,2.5858543,8.290820651785525e-264,1.721352027753213e-261
B-cells,ENSG00000136490,34.211693,2.128262,1.6203297276477548e-256,3.139874946235819e-254
B-cells,ENSG00000042980,33.979416,3.922804,4.487560220760881e-253,8.415478253990745e-251
B-cells,ENSG00000138639,32.78776,3.484845,8.799263403390234e-236,1.3604690922677868e-233
B-cells,ENSG00000247982,32.55446,5.550253,1.810753876199176e-232,2.7130506659526523e-230
B-cells,ENSG00000028277,32.500412,3.097188,1.0521423636515537e-231,1.5524173646832341e-229
B-cells,ENSG00000158517,32.21204,2.1316073,1.197196747173238e-227,1.7227187054497285e-225
B-cells,ENSG00000237541,31.357244,1.709146,7.750557308287734e-216,1.0334194921100898e-213
B-cells,ENSG00000211899,31.107334,1.764435,1.91675703276721e-212,2.4118777779846097e-210
B-cells,ENSG00000102879,31.04982,1.5439191,1.147242832181639e-211,1.431197742619043e-209
B-cells,ENSG00000081189,30.921307,1.7481338,6.177943597432565e-210,7.576974115889129e-208
B-cells,ENSG00000177455,30.906933,6.6279507,9.638714528878847e-210,1.1673688133788394e-207
B-cells,ENSG00000204257,30.140318,0.17797352,1.436598178559875e-199,1.581727244553026e-197
B-cells,ENSG00000188404,29.98908,2.4566755,1.3621572041046966e-197,1.4450300529821613e-195
B-cells,ENSG00000126353,28.18038,2.3957367,1.0173958987881107e-174,8.571781620311309e-173
B-cells,ENSG00000116191,27.727423,2.4072526,3.262186856270607e-169,2.5627563608437227e-167
B-cells,ENSG00000143119,27.303154,1.327622,3.8911763705638854e-164,2.8706808010959507e-162
B-cells,ENSG00000128340,27.147522,1.6192024,2.708484860512934e-162,1.9632800359234278e-160
B-cells,ENSG00000122986,27.01471,3.3184183,9.928309264166386e-161,7.004518577221464e-159
B-cells,ENSG00000122224,26.931206,3.8618834,9.471307707364755e-160,6.60197844436382e-158
B-cells,ENSG00000117091,26.569237,1.4903488,1.5396964482485092e-155,1.0288357853158487e-153
B-cells,ENSG00000242574,25.747702,0.6435944,3.4202074444112746e-146,2.0798152675042367e-144
B-cells,ENSG00000132185,25.6829,6.651464,1.8149464503919847e-145,1.0788353471072356e-143
B-cells,ENSG00000159958,25.664564,5.9519486,2.9081577288354744e-145,1.7216175296142716e-143
B-cells,ENSG00000145416,25.539593,2.360914,7.165770160909725e-144,4.2078270963063224e-142
B-cells,ENSG00000133639,25.312168,4.29659,2.3464914158068635e-141,1.3347449311792193e-139
B-cells,ENSG00000168421,23.78354,1.3992883,4.944023172268452e-125,2.3832159460750762e-123
B-cells,ENSG00000136573,23.77781,6.268339,5.667339321780645e-125,2.7273601335463242e-123
B-cells,ENSG00000012124,22.372698,5.965318,7.260981579324883e-111,2.9476948542770443e-109
CAFs,ENSG00000011465,128.50261,59.032654,0.0,0.0
CAFs,ENSG00000139329,126.68585,53.140755,0.0,0.0
CAFs,ENSG00000164692,121.607666,83.936584,0.0,0.0
CAFs,ENSG00000108821,117.6221,107.93828,0.0,0.0
CAFs,ENSG00000168542,115.79781,66.60697,0.0,0.0
CAFs,ENSG00000182326,115.37129,13.152366,0.0,0.0
CAFs,ENSG00000143387,113.126205,15.645552,0.0,0.0
CAFs,ENSG00000142173,112.10218,17.25062,0.0,0.0
CAFs,ENSG00000145423,111.122055,41.88589,0.0,0.0
CAFs,ENSG00000163359,108.0125,14.532377,0.0,0.0
CAFs,ENSG00000132386,107.53274,13.4944725,0.0,0.0
CAFs,ENSG00000106538,107.23091,15.558202,0.0,0.0
CAFs,ENSG00000142156,106.88746,13.3158655,0.0,0.0
CAFs,ENSG00000149131,104.74047,9.722065,0.0,0.0
CAFs,ENSG00000113140,104.052246,45.13877,0.0,0.0
CAFs,ENSG00000122786,102.14001,16.704689,0.0,0.0
CAFs,ENSG00000091986,99.28463,14.713073,0.0,0.0
CAFs,ENSG00000106624,97.90731,13.869421,0.0,0.0
CAFs,ENSG00000106333,97.57858,8.3253765,0.0,0.0
CAFs,ENSG00000087245,96.39159,11.221697,0.0,0.0
CAFs,ENSG00000129009,96.27348,9.267499,0.0,0.0
CAFs,ENSG00000162576,95.81859,9.445823,0.0,0.0
CAFs,ENSG00000102265,95.573845,39.75454,0.0,0.0
CAFs,ENSG00000159403,95.30812,9.228517,0.0,0.0
CAFs,ENSG00000077942,95.077034,10.894582,0.0,0.0
CAFs,ENSG00000141753,94.86999,18.65892,0.0,0.0
CAFs,ENSG00000038427,93.61684,12.642063,0.0,0.0
